,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.1,Unnamed: 0,Unnamed: 0.2,spotRate,spotAveragePoint,spotName,New_cat,New_sub_cat,spotLat,spotLng,zipcode,spotAddress,spotBuildingName,spotTel,sfiInfo,naver_rating_score,naver_rating_count,card_review_json,naver_open_hours,user_reviews,theme_keyword,menu
0,0,0,0,0,0,bf,5.0,도마1동행정복지센터,5,,36.316071811018,127.38110200983,35332.0,대전광역시 서구 도마3길 46,,042-288-5030,"[1, 2, 3, 4, 6, 7, 8]",no_rating,,,"{'월': ['09:00 - 18:00'], '화': ['09:00 - 18:00'], '수': ['09:00 - 18:00'], '목': ['09:00 - 18:00'], '금': ['09:00 - 18:00'], '토': ['정보없음'], '일': ['정보없음']}",{},[],{}
1,1,1,1,1,1,bf,5.0,신협,7,,36.314682364172,127.38302164873,35332.0,대전광역시 서구 계백로 1461,,042-522-4086,"[1, 2, 8]",no_rating,,,[],{},[],{}
2,2,2,2,2,2,bf,5.0,크로커다일,7,,36.314535529385,127.38279265779,35332.0,대전광역시 서구 계백로 1459,,,"[1, 2, 8]",4.3,[59],[],,,,
3,3,3,3,3,3,bf,5.0,카페 B 307308,1,,36.396659269055,127.40273836514,34052.0,대전광역시 유성구 전민로46번길 46,,0507-1387-8680,"[1, 2, 8]",4.49,[244],"[{""\""\u00ec\u009d\u008c\u00ec\u008b\u009d\u00ec\u009d\u00b4 \u00eb\u00a7\u009b\u00ec\u009e\u0088\u00ec\u0096\u00b4\u00ec\u009a\u0094\"""": ""105""}, {""\""\u00ec\u00b9\u009c\u00ec\u00a0\u0088\u00ed\u0095\u00b4\u00ec\u009a\u0094\"""": ""34""}, {""\""\u00ec\u009e\u00ac\u00eb\u00a3\u008c\u00ea\u00b0\u0080 \u00ec\u008b\u00a0\u00ec\u0084\u00a0\u00ed\u0095\u00b4\u00ec\u009a\u0094\"""": ""33""}, {""\""\u00ed\u008a\u00b9\u00eb\u00b3\u0084\u00ed\u0095\u009c \u00eb\u00a9\u0094\u00eb\u0089\u00b4\u00ea\u00b0\u0080 \u00ec\u009e\u0088\u00ec\u0096\u00b4\u00ec\u009a\u0094\"""": ""18""}, {""\""\u00eb\u00a7\u00a4\u00ec\u009e\u00a5\u00ec\u009d\u00b4 \u00ec\u00b2\u00ad\u00ea\u00b2\u00b0\u00ed\u0095\u00b4\u00ec\u009a\u0094\"""": ""18""}, {""\""\u00ec\u009d\u00b8\u00ed\u0085\u008c\u00eb\u00a6\u00ac\u00ec\u0096\u00b4\u00ea\u00b0\u0080 \u00eb\u00a9\u008b\u00ec\u00a0\u00b8\u00ec\u009a\u0094\"""": ""14""}, {""\""\u00ed\u008a\u00b9\u00eb\u00b3\u0084\u00ed\u0095\u009c \u00eb\u0082\u00a0 \u00ea\u00b0\u0080\u00ea\u00b8\u00b0 \u00ec\u00a2\u008b\u00ec\u0095\u0084\u00ec\u009a\u0094\"""": ""13""}, {""\""\u00ea\u00b0\u0080\u00ec\u0084\u00b1\u00eb\u00b9\u0084\u00ea\u00b0\u0080 \u00ec\u00a2\u008b\u00ec\u0095\u0084\u00ec\u009a\u0094\"""": ""7""}, {""\""\u00eb\u008b\u00a8\u00ec\u00b2\u00b4\u00eb\u00aa\u00a8\u00ec\u009e\u0084 \u00ed\u0095\u0098\u00ea\u00b8\u00b0 \u00ec\u00a2\u008b\u00ec\u0095\u0084\u00ec\u009a\u0094\"""": ""7""}, {""\""\u00ed\u0099\u0094\u00ec\u009e\u00a5\u00ec\u008b\u00a4\u00ec\u009d\u00b4 \u00ea\u00b9\u00a8\u00eb\u0081\u0097\u00ed\u0095\u00b4\u00ec\u009a\u0094\"""": ""7""}, {""\""\u00ec\u0096\u0091\u00ec\u009d\u00b4 \u00eb\u00a7\u008e\u00ec\u0095\u0084\u00ec\u009a\u0094\"""": ""5""}, {""\""\u00eb\u00a7\u00a4\u00ec\u009e\u00a5\u00ec\u009d\u00b4 \u00eb\u0084\u0093\u00ec\u0096\u00b4\u00ec\u009a\u0094\"""": ""3""}, {""\""\u00ed\u0098\u00bc\u00eb\u00b0\u00a5\u00ed\u0095\u0098\u00ea\u00b8\u00b0 \u00ec\u00a2\u008b\u00ec\u0095\u0084\u00ec\u009a\u0094\"""": ""2""}, {""\""\u00ec\u00a3\u00bc\u00ec\u00b0\u00a8\u00ed\u0095\u0098\u00ea\u00b8\u00b0 \u00ed\u008e\u00b8\u00ed\u0095\u00b4\u00ec\u009a\u0094\"""": ""2""}, {""\""\u00eb\u00b7\u00b0\u00ea\u00b0\u0080 \u00ec\u00a2\u008b\u00ec\u0095\u0084\u00ec\u009a\u0094\"""": ""2""}]",,"{'Ch2769': '음식 하나하나 다 너무 맛있어요\U0001faf6🏻 4명이서 5개 _x000D_\n시켰는데 너무 맛있어서 순삭했어요 카페b플레이_x000D_\n트 토스트도 너무 부드럽고 맛있고 까르보...', 'swy****': '너무 맛있어서 진짜 폭풍흡입했어요. 셀러드도 야_x000D_\n채가 정말 싱싱합니다. 전민동 맛집이예요. 한동안_x000D_\n여기가 자꾸 생각나서 다음주에 또 가자고 ...', '옥이네현미누룽지': '사장님 친절하시고_x000D_\n모든메뉴 다 맛있어요_x000D_\n포토이토도 맛있네요^~^'}",[],"{'Cafe B 플레이트': '18,000원', '아보카도 쉬림프 샐러드': '18,500원', '카프레제 플렛피자': '24,500원', '클럽 샌드위치': '10,900원'}"
4,4,4,4,4,4,bf,5.0,리본커피,1,,36.396516934312,127.40385789684,34052.0,대전광역시 유성구 전민로 10,,042-864-3332,"[1, 2, 3, 4, 8]",4.61,[181],"[{""\""\u00ec\u00bb\u00a4\u00ed\u0094\u00bc\u00ea\u00b0\u0080 \u00eb\u00a7\u009b\u00ec\u009e\u0088\u00ec\u0096\u00b4\u00ec\u009a\u0094\"""": ""67""}, {""\""\u00ec\u009d\u008c\u00eb\u00a3\u008c\u00ea\u00b0\u0080 \u00eb\u00a7\u009b\u00ec\u009e\u0088\u00ec\u0096\u00b4\u00ec\u009a\u0094\"""": ""28""}, {""\""\u00ea\u00b0\u0080\u00ec\u0084\u00b1\u00eb\u00b9\u0084\u00ea\u00b0\u0080 \u00ec\u00a2\u008b\u00ec\u0095\u0084\u00ec\u009a\u0094\"""": ""28""}, {""\""\u00ec\u00b9\u009c\u00ec\u00a0\u0088\u00ed\u0095\u00b4\u00ec\u009a\u0094\"""": ""27""}, {""\""\u00eb\u0094\u0094\u00ec\u00a0\u0080\u00ed\u008a\u00b8\u00ea\u00b0\u0080 \u00eb\u00a7\u009b\u00ec\u009e\u0088\u00ec\u0096\u00b4\u00ec\u009a\u0094\"""": ""24""}, {""\""\u00eb\u00a7\u00a4\u00ec\u009e\u00a5\u00ec\u009d\u00b4 \u00ec\u00b2\u00ad\u00ea\u00b2\u00b0\u00ed\u0095\u00b4\u00ec\u009a\u0094\"""": ""14""}, {""\""\u00ed\u008a\u00b9\u00eb\u00b3\u0084\u00ed\u0095\u009c \u00eb\u00a9\u0094\u00eb\u0089\u00b4\u00ea\u00b0\u0080 \u00ec\u009e\u0088\u00ec\u0096\u00b4\u00ec\u009a\u0094\"""": ""12""}, {""\""\u00eb\u008c\u0080\u00ed\u0099\u0094\u00ed\u0095\u0098\u00ea\u00b8\u00b0 \u00ec\u00a2\u008b\u00ec\u0095\u0084\u00ec\u009a\u0094\"""": ""11""}, {""\""\u00ec\u009d\u00b8\u00ed\u0085\u008c\u00eb\u00a6\u00ac\u00ec\u0096\u00b4\u00ea\u00b0\u0080 \u00eb\u00a9\u008b\u00ec\u00a0\u00b8\u00ec\u009a\u0094\"""": ""10""}, {""\""\u00ec\u00a2\u008c\u00ec\u0084\u009d\u00ec\u009d\u00b4 \u00ed\u008e\u00b8\u00ed\u0095\u00b4\u00ec\u009a\u0094\"""": ""5""}, {""\""\u00ec\u00a7\u0091\u00ec\u00a4\u0091\u00ed\u0095\u0098\u00ea\u00b8\u00b0 \u00ec\u00a2\u008b\u00ec\u0095\u0084\u00ec\u009a\u0094\"""": ""4""}, {""\""\u00ed\u0099\u0094\u00ec\u009e\u00a5\u00ec\u008b\u00a4\u00ec\u009d\u00b4 \u00ea\u00b9\u00a8\u00eb\u0081\u0097\u00ed\u0095\u00b4\u00ec\u009a\u0094\"""": ""4""}, {""\""\u00ec\u0082\u00ac\u00ec\u00a7\u0084\u00ec\u009d\u00b4 \u00ec\u009e\u0098 \u00eb\u0082\u0098\u00ec\u0099\u0080\u00ec\u009a\u0094\"""": ""3""}, {""\""\u00ec\u00a3\u00bc\u00ec\u00b0\u00a8\u00ed\u0095\u0098\u00ea\u00b8\u00b0 \u00ed\u008e\u00b8\u00ed\u0095\u00b4\u00ec\u009a\u0094\"""": ""1""}, {""\""\u00eb\u00b7\u00b0\u00ea\u00b0\u0080 \u00ec\u00a2\u008b\u00ec\u0095\u0084\u00ec\u009a\u0094\"""": ""1""}]","{'월': ['09:00 - 21:00'], '화': ['09:00 - 21:00'], '수': ['09:00 - 21:00'], '목': ['09:00 - 21:00'], '금': ['09:00 - 21:00'], '토': ['11:00 - 22:00'], '일': ['11:00 - 22:00']}","{'소라네 소라껍데기': '귀여운 쿠키를 저렴하게 판매해서 좋아요~~', '땅땅조실장': '커피맛과 직접구운빵 맛있어요^^', 'Yang양': '코케허니가 스페셜 원두라고 해서 마셔봤는데_x000D_\n산미가 상당하네요~~~'}",[],"{'에스프레소': '3,000원', '카페 아메리카노': '3,000원', '카페라떼': '3,500원', '카페모카': '3,800원'}"
5,5,5,5,5,5,bf,5.0,이마트24 유성스마트시티점,7,,36.377736418377,127.39172777896,34125.0,대전광역시 유성구 엑스포로123번길 65-38,,042-867-1991,"[1, 2, 4, 8]",4.25,[105],[],[],{},[],{}
6,6,6,6,6,6,bf,5.0,신성동 우체국,5,,36.389963446868,127.3487098109,34107.0,대전광역시 유성구 신성로 73,,042-861-3200,"[1, 2, 4, 8]",no_rating,,,[],{},[],{}
7,7,7,7,7,7,bf,5.0,파스쿠찌 대전 롯데점,1,,36.341029943191,127.39017795198,,,,042-484-8497,"[1, 2, 3, 5, 6, 7, 8]",4.51,[965],"[{""\""\u00ec\u00bb\u00a4\u00ed\u0094\u00bc\u00ea\u00b0\u0080 \u00eb\u00a7\u009b\u00ec\u009e\u0088\u00ec\u0096\u00b4\u00ec\u009a\u0094\"""": ""365""}, {""\""\u00ec\u009d\u008c\u00eb\u00a3\u008c\u00ea\u00b0\u0080 \u00eb\u00a7\u009b\u00ec\u009e\u0088\u00ec\u0096\u00b4\u00ec\u009a\u0094\"""": ""232""}, {""\""\u00ec\u00b9\u009c\u00ec\u00a0\u0088\u00ed\u0095\u00b4\u00ec\u009a\u0094\"""": ""210""}, {""\""\u00eb\u00a7\u00a4\u00ec\u009e\u00a5\u00ec\u009d\u00b4 \u00ec\u00b2\u00ad\u00ea\u00b2\u00b0\u00ed\u0095\u00b4\u00ec\u009a\u0094\"""": ""190""}, {""\""\u00eb\u0094\u0094\u00ec\u00a0\u0080\u00ed\u008a\u00b8\u00ea\u00b0\u0080 \u00eb\u00a7\u009b\u00ec\u009e\u0088\u00ec\u0096\u00b4\u00ec\u009a\u0094\"""": ""188""}, {""\""\u00ec\u00a2\u008c\u00ec\u0084\u009d\u00ec\u009d\u00b4 \u00ed\u008e\u00b8\u00ed\u0095\u00b4\u00ec\u009a\u0094\"""": ""160""}, {""\""\u00ec\u00a7\u0091\u00ec\u00a4\u0091\u00ed\u0095\u0098\u00ea\u00b8\u00b0 \u00ec\u00a2\u008b\u00ec\u0095\u0084\u00ec\u009a\u0094\"""": ""152""}, {""\""\u00eb\u008c\u0080\u00ed\u0099\u0094\u00ed\u0095\u0098\u00ea\u00b8\u00b0 \u00ec\u00a2\u008b\u00ec\u0095\u0084\u00ec\u009a\u0094\"""": ""139""}, {""\""\u00ec\u009d\u00b8\u00ed\u0085\u008c\u00eb\u00a6\u00ac\u00ec\u0096\u00b4\u00ea\u00b0\u0080 \u00eb\u00a9\u008b\u00ec\u00a0\u00b8\u00ec\u009a\u0094\"""": ""130""}, {""\""\u00ec\u00a3\u00bc\u00ec\u00b0\u00a8\u00ed\u0095\u0098\u00ea\u00b8\u00b0 \u00ed\u008e\u00b8\u00ed\u0095\u00b4\u00ec\u009a\u0094\"""": ""53""}, {""\""\u00ed\u0099\u0094\u00ec\u009e\u00a5\u00ec\u008b\u00a4\u00ec\u009d\u00b4 \u00ea\u00b9\u00a8\u00eb\u0081\u0097\u00ed\u0095\u00b4\u00ec\u009a\u0094\"""": ""48""}, {""\""\u00ed\u008a\u00b9\u00eb\u00b3\u0084\u00ed\u0095\u009c \u00eb\u00a9\u0094\u00eb\u0089\u00b4\u00ea\u00b0\u0080 \u00ec\u009e\u0088\u00ec\u0096\u00b4\u00ec\u009a\u0094\"""": ""41""}, {""\""\u00ea\u00b0\u0080\u00ec\u0084\u00b1\u00eb\u00b9\u0084\u00ea\u00b0\u0080 \u00ec\u00a2\u008b\u00ec\u0095\u0084\u00ec\u009a\u0094\"""": ""34""}, {""\""\u00eb\u00b7\u00b0\u00ea\u00b0\u0080 \u00ec\u00a2\u008b\u00ec\u0095\u0084\u00ec\u009a\u0094\"""": ""24""}, {""\""\u00ec\u0082\u00ac\u00ec\u00a7\u0084\u00ec\u009d\u00b4 \u00ec\u009e\u0098 \u00eb\u0082\u0098\u00ec\u0099\u0080\u00ec\u009a\u0094\"""": ""17""}]","{'월': ['08:00 - 23:00'], '화': ['08:00 - 23:00'], '수': ['08:00 - 23:00'], '목': ['08:00 - 23:00'], '금': ['08:00 - 23:00'], '토': ['08:00 - 23:00'], '일': ['08:00 - 22:00']}",{},[],"{'(R)콜드브루 아메리카노': '4,800원', '(R)콜드브루 라떼': '5,300원', '(R)카푸치노': '5,000원', '(R)카페모카': '5,500원'}"
8,8,8,8,8,8,bf,5.0,세븐일레븐 유성디티비안S점,7,,36.426326139169,127.39071722587,34018.0,대전광역시 유성구 테크노중앙로 50,,,"[1, 2, 3, 4, 5, 6, 8]",4.37,[136],[],,,,
9,9,9,9,9,9,bf,5.0,던킨 대전관평점,0,7.0,36.425883590826,127.39101608887,,,,042-932-0109,"[1, 2, 5, 6, 8]",no_rating,,,{'매일': ['08:00 - 22:00']},{},[],"{'비프칠리 핫도그': '4,200원', '보툰블록 믹스베리루피': '2,800원', '보툰블록 사과맛 크롱': '2,800원', '보툰블록 트로피칼뽀로로': '2,800원'}"
